N,live weithg,altura_cruz,altura_cadera,profundidad_pecho,ancho_pecho,ancho_ilion,ancho_articulacion_cadera,longitud_oblicua,longitud_cadera,circunferencia_torax,length,width,height,volume,surface_area,point_count,density,std_x,std_y,std_z,avg_distance,max_distance,aspect_ratio_1,aspect_ratio_2,aspect_ratio_3,distance_q1,distance_q3,eigenvalue_1,eigenvalue_2,eigenvalue_3,principal_length_1,principal_length_2,principal_length_3,sphericity,elongation,flatness
13,410.0,117.0,119.0,61.0,41.0,41.0,40.0,143.0,44.0,179.0,1.224129557609558,2.11127370595932,0.6974290460348129,1.8024862234237264,9.821359327841838,99595,55254.23645725547,0.518664512734717,0.18857240041654105,0.2728178435709844,0.5754463867524666,1.193951373702958,0.5798061872102643,1.7552030053369105,3.0272236551701255,0.38445033573598086,0.7348904456392087,0.27004698650365977,0.074209814647434,0.0347490070590568,2.11047099256968,1.245782398685502,0.7009187582726768,0.12867763313694994,0.7251966570401693,0.5317464782233041
14,464.0,119.0,122.0,62.0,45.0,44.0,41.0,133.0,39.0,186.0,1.2476353645324707,2.31106373667717,0.860094703733921,2.479966834324937,11.888366193400143,104032,41948.948090799044,0.5077588906442982,0.2003902113046072,0.3062570513483958,0.588108160406005,1.3876838623617975,0.5398532912494709,1.450579057301624,2.6869875220067865,0.4107151486367034,0.7279308879903421,0.2595465159724798,0.09332311990185287,0.038902839325611005,2.2982374899061724,1.3450607033791717,0.8657253457113625,0.14988773468928376,0.640437786066263,0.5831382473440152
15,407.0,116.0,129.0,64.0,40.0,39.0,40.0,139.0,41.0,175.0,1.1966599225997925,2.0843872129917145,0.7204239964485168,1.7969554769572929,9.716095461850909,83881,46679.509356587994,0.4798162516943568,0.19147182885310704,0.2758114369584286,0.5481937400626651,1.2429166340137874,0.5741063441289443,1.6610495048734937,2.893278435014858,0.37174862241911044,0.6772510550752237,0.23047773468227872,0.07683036782486981,0.035653031547217544,2.060210851534281,1.2466581305745854,0.745873682098634,0.1546918690274635,0.6666473317659815,0.5359513099236166
16,312.0,105.0,110.0,55.0,31.0,38.0,37.0,137.0,40.0,153.0,1.1505553722381592,2.031763255596161,0.6325885504484177,1.4787745019911815,8.70150891337793,80359,54341.61861175992,0.4686184003205345,0.1650111404139901,0.2777392122147615,0.533928309540037,1.1593463910086965,0.5662841716765681,1.818805243032892,3.2118242642171158,0.36502769138383545,0.6589359779127888,0.22007088220190735,0.07675892635667833,0.027145174618297973,2.0227936751947655,1.1670443776635937,0.6477341404529935,0.12334741582665726,0.6512081671656376,0.6463580731684344
17,412.0,118.0,120.0,61.0,43.0,43.0,45.0,143.0,45.0,183.0,1.2568787336349487,2.2844396829605103,0.6840660870075226,1.9641340937796428,10.587518975745922,92539,47114.40033196736,0.5006237417689565,0.18673522779788782,0.28635245912016644,0.5671002552341932,1.2642727607962185,0.5501912539034963,1.8373644849625868,3.3395014405024708,0.3749001375931824,0.708656459610695,0.2509359404847906,0.08227080891141156,0.034289128825479465,2.286535375159839,1.255706860354365,0.6868507345125298,0.13664494914214073,0.6721441785004167,0.5832163402890365
55,275.0,100.0,100.0,57.0,40.0,35.0,40.0,124.0,40.0,165.0,1.2573559284210205,2.280649244785309,0.7623589932918549,2.1861313854191997,11.129635821373366,103611,47394.68116648999,0.5299198323001957,0.17298977828990814,0.313518509343871,0.5950149546257216,1.3096105435203222,0.5513149079350792,1.64929638068776,2.9915686243006054,0.3863986499855132,0.7633421330489969,0.2844988319815262,0.09897316307767283,0.025566300526791916,2.294565156173511,1.2478256358048725,0.6488973711913961,0.08986434267136834,0.6521139915115728,0.7416845159659309
18,414.0,120.0,124.0,63.0,41.0,42.0,44.0,144.0,45.0,181.0,1.3044184446334839,2.110092878341675,0.7725680023431778,2.1264502170292015,10.780772524335436,92393,43449.40655562557,0.4886878583810221,0.1914030561995651,0.2959038937089708,0.5651699478825372,1.260434994485738,0.6181805824863161,1.6884189361677135,2.731271385744453,0.3821439487802466,0.700698005614262,0.24366793351508945,0.08793366332826841,0.031412399340894535,2.124416823131521,1.3232909665487749,0.6371847771421159,0.12891478532996745,0.6391250089424549,0.6427716286124945
19,378.0,118.0,120.0,60.0,35.0,43.0,42.0,143.0,43.0,170.0,1.3051295280456543,1.9349678754806519,0.7072305530309677,1.786028517916185,9.633759177359355,84072,47072.03673213987,0.456856881175678,0.19306191312731227,0.2919957930065451,0.5427841559241816,1.1493710245681428,0.6744967420823234,1.8454088591793434,2.7359789070027984,0.3901408734970758,0.6635475906311896,0.20925142755706938,0.08586085710439167,0.036144310803627226,1.9095253430334473,1.3345373805715892,0.7306733704656833,0.1727314896992497,0.5896761226110405,0.5790362218294407
56,409.0,122.0,125.0,63.0,39.0,43.0,49.0,151.0,45.0,177.0,1.20761239528656,2.166465997695923,0.8746850788593292,2.28839588087649,11.135014436055805,89201,38979.70659072969,0.5053415324680538,0.20787900281851637,0.290411271018418,0.5736735743128997,1.331407134477069,0.5574111925000801,1.3806253524541645,2.4768525839279163,0.37289557049579586,0.7409791879664474,0.27514163806455705,0.08462205497185438,0.023163050400685045,2.2445836551292175,1.2245220544061528,0.6275217021294122,0.08418591443891256,0.6924418435278803,0.7262764369361018
20,441.0,121.0,124.0,64.0,40.0,43.0,49.0,152.0,46.0,181.0,1.2739057540893555,2.242305338382721,0.8164216876029968,2.332096853757117,11.454393334150915,98158,42090.01862073733,0.5113726643786639,0.21192227196511204,0.2849705635975616,0.5826078019697741,1.3342166574284484,0.568123231160021,1.5603526626411968,2.7465038869387453,0.3934574754305154,0.7218790943118241,0.2653784566130132,0.08170136135741324,0.04054540436794541,2.251175852779709,1.3210765299710907,0.8230146232682581,0.1527833302123335,0.6921326531167756,0.5037364898906119
